2023-06-12 22:32:17.761605: iter: [6/20], train_loss: 0.001881, valid_loss: 0.005144
2023-06-12 22:51:21.193905: iter: [7/20], train_loss: 0.001534, valid_loss: 0.004056
2023-06-12 23:10:44.550575: iter: [8/20], train_loss: 0.001315, valid_loss: 0.004441
2023-06-13 16:37:21.057895: iter: [1/1], train_loss: 0.053339, valid_loss: 0.022507
2023-06-13 16:59:49.086141: iter: [1/1], train_loss: 0.037328, valid_loss: 0.014003
2023-06-13 18:03:43.439737: iter: [1/20], train_loss: 0.029978, valid_loss: 0.009978
2023-06-13 18:20:55.212870: iter: [2/20], train_loss: 0.007017, valid_loss: 0.005899
2023-06-13 18:37:51.705339: iter: [3/20], train_loss: 0.003866, valid_loss: 0.004237
2023-06-13 18:55:30.949177: iter: [4/20], train_loss: 0.002532, valid_loss: 0.003805
2023-06-13 19:17:48.040612: iter: [5/20], train_loss: 0.001876, valid_loss: 0.003334
2023-06-13 19:42:46.134468: iter: [6/20], train_loss: 0.001468, valid_loss: 0.002900
2023-06-13 20:05:51.598944: iter: [7/20], train_loss: 0.001237, valid_loss: 0.002705
2023-06-13 20:29:02.553148: iter: [8/20], train_loss: 0.001235, valid_loss: 0.002661
2023-06-13 20:52:12.207855: iter: [9/20], train_loss: 0.000896, valid_loss: 0.002269
2023-06-13 21:14:19.472807: iter: [10/20], train_loss: 0.000755, valid_loss: 0.002175
2023-06-13 21:36:43.032949: iter: [11/20], train_loss: 0.000698, valid_loss: 0.001913
